endDate,value_alex,value_james
2018-02-23,11,
2018-02-24,11,
2018-02-25,10,
2018-02-26,16,
2018-02-27,12,
2018-02-28,13,
2018-03-01,13,
2018-03-02,16,
2018-03-03,15,
2018-03-04,13,
2018-03-05,13,
2018-03-06,10,
2018-03-07,15,
2018-03-08,14,
2018-03-09,12,
2018-03-10,12,
2018-03-11,13,
2018-03-12,14,
2018-03-13,13,
2018-03-14,13,
2018-03-15,15,
2018-03-16,15,
2018-03-17,15,
2018-03-18,11,
2018-03-19,15,
2018-03-20,11,
2018-03-21,17,
2018-03-22,16,
2018-03-23,15,
2018-03-24,12,
2018-03-25,14,
2018-03-26,10,
2018-03-27,15,
2018-03-28,11,
2018-03-29,14,
2018-03-30,12,
2018-03-31,12,
2018-04-01,11,
2018-04-02,15,
2018-04-03,12,
2018-04-04,13,
2018-04-05,13,
2018-04-06,15,
2018-04-07,13,
2018-04-08,13,
2018-04-09,12,
2018-04-10,13,
2018-04-11,15,
2018-04-12,13,
2018-04-13,10,
2018-04-14,9,
2018-04-15,6,
2018-04-16,12,
2018-04-17,12,
2018-04-18,14,
2018-04-19,14,
2018-04-20,14,
2018-04-21,11,
2018-04-22,12,
2018-04-23,14,
2018-04-24,15,
2018-04-25,16,
2018-04-26,15,
2018-04-27,14,
2018-04-28,9,
2018-04-29,10,
2018-04-30,16,
2018-05-01,15,
2018-05-02,14,
2018-05-03,14,
2018-05-04,15,
2018-05-05,9,
2018-05-06,15,
2018-05-07,12,
2018-05-08,13,
2018-05-09,15,
2018-05-10,14,
2018-05-11,14,
2018-05-12,13,
2018-05-13,14,
2018-05-14,14,
2018-05-15,12,
2018-05-16,16,
2018-05-17,13,
2018-05-18,12,
2018-05-19,14,
2018-05-20,10,
2018-05-21,13,
2018-05-22,15,
2018-05-23,15,
2018-05-24,10,
2018-05-25,14,
2018-05-26,9,
2018-05-27,15,
2018-05-28,9,
2018-05-29,12,
2018-05-30,14,
2018-05-31,13,
2018-06-01,16,
2018-06-02,15,
2018-06-03,8,
2018-06-04,16,
2018-06-05,13,
2018-06-06,12,
2018-06-07,16,
2018-06-08,14,
2018-06-09,12,
2018-06-10,14,
2018-06-11,14,
2018-06-12,12,
2018-06-13,16,
2018-06-14,15,
2018-06-15,15,
2018-06-16,12,
2018-06-17,14,
2018-06-18,14,
2018-06-19,13,
2018-06-20,14,
2018-06-21,16,
2018-06-22,16,
2018-06-23,10,
2018-06-24,16,
2018-06-25,13,
2018-06-26,14,
2018-06-27,15,
2018-06-28,14,
2018-06-29,16,
2018-06-30,12,
2018-07-01,15,
2018-07-02,11,
2018-07-03,13,
2018-07-04,16,
2018-07-05,16,
2018-07-06,11,
2018-07-07,8,
2018-07-08,13,
2018-07-09,14,
2018-07-10,14,
2018-07-11,14,
2018-07-12,11,
2018-07-13,12,
2018-07-14,9,
2018-07-15,15,
2018-07-16,13,
2018-07-17,16,
2018-07-18,17,
2018-07-19,10,
2018-07-20,15,
2018-07-21,5,
2018-07-22,10,
2018-07-23,14,
2018-07-24,13,
2018-07-25,15,
2018-07-26,12,
2018-07-27,12,
2018-07-28,12,
2018-07-29,11,
2018-07-30,13,
2018-07-31,11,
2018-08-01,13,
2018-08-02,14,
2018-08-03,16,
2018-08-04,14,
2018-08-05,8,
2018-08-06,15,
2018-08-07,13,
2018-08-08,13,
2018-08-09,11,
2018-08-10,15,
2018-08-11,14,
2018-08-12,7,
2018-08-13,14,
2018-08-14,15,
2018-08-15,15,
2018-08-16,10,
2018-08-17,11,
2018-08-18,14,
2018-08-19,12,
2018-08-20,10,
2018-08-21,13,
2018-08-22,13,
2018-08-23,14,
2018-08-24,15,
2018-08-25,16,
2018-08-26,10,
2018-08-27,12,
2018-08-28,15,
2018-08-29,14,
2018-08-30,15,
2018-08-31,13,
2018-09-01,4,
2018-09-02,8,
2018-09-03,6,
2018-09-04,12,
2018-09-05,12,
2018-09-06,16,
2018-09-07,10,
2018-09-08,13,
2018-09-09,14,
2018-09-10,15,
2018-09-11,15,
2018-09-12,11,
2018-09-13,11,
2018-09-14,14,
2018-09-15,17,
2018-09-16,13,
2018-09-17,11,
2018-09-18,11,
2018-09-19,14,
2018-09-20,13,
2018-09-21,15,
2018-09-22,13,
2018-09-23,16,
2018-09-24,12,
2018-09-25,13,
2018-09-26,15,
